mes_ref,codigo,descricao,valor
janeiro,1.3.2.1.01.0.1.001,REC REM OUTR DEP DE REC NÃO VINCULADA,8979.07
janeiro,1.6.1.1.01.0.1.018,TARIFAS DE DISPOSIÇÃO DE RESIDUOS CONSTR.CIVIL,19260.0
janeiro,1.6.1.1.01.0.1.007,TARIFA ESGOTO REFERENTE POÇO,0.0
janeiro,9.6.1.1.01.0.1.006,DESCONTOS SOCIAIS ESGOTO,0.0
janeiro,1.6.1.1.01.0.1.006,TARIFS UTIL. ESGOTO SANITARIO,618.39
janeiro,9.6.1.1.01.0.1.005,DESCONTOS SOCIAIS - ÁGUA,0.0
janeiro,1.6.1.1.01.0.1.005,TARIFAS DE CONSUMO DE AGUA,577.03
janeiro,1.6.1.1.01.0.1.004,VISTORIA DE SUPRESSÃO DE ARVORE EM CALÇADA,149.36
janeiro,1.6.1.1.01.0.1.001,TARIFA DE MANIFESTAÇÃO DE ORGÃO AMBIENTAL,0.0
janeiro,1.3.3.9.99.0.1.002,OUTORGA VARIÁVEL,27847.09
janeiro,1.3.2.2.01.0.1.001,DIVIDENDOS,6.29
janeiro,1.3.2.1.04.0.1.000,Remuneração dos Recursos do Regime Próprio de Prev,191102.65
janeiro,1.3.2.1.01.0.1.025,REC REM ASS SOCIAL - FEDERAL,3377.26
janeiro,1.6.1.1.01.0.1.020,CERTIFICADO DE DISPENSA DE LICENÇA CDL,0.0
janeiro,1.3.2.1.01.0.1.024,REC REM ASS SOCIAL - ESTADUAL,2766.84
janeiro,1.3.2.1.01.0.1.022,REC REM EDUCAÇÃO - ESTADUAL,0.0
janeiro,1.3.2.1.01.0.1.021,REC REND DUODECIMO CAMARA,0.0
janeiro,1.3.2.1.01.0.1.020,REC REND SAUDE FEDERAL,27188.41
janeiro,1.3.2.1.01.0.1.019,REC REND SAUDE ESTADO,21603.41
janeiro,1.3.2.1.01.0.1.018,RENDIMENTOS ESCOLA PROFISSIONAL,224.67
janeiro,1.3.2.1.01.0.1.014,REC REND DE BANC FUNDEB,37197.91
janeiro,1.3.2.1.01.0.1.010,REC REM DEP BANC CIDE,289.82
janeiro,1.3.2.1.01.0.1.008,REC REM OUT DEP REC VINCULADOS,5077.49
janeiro,1.3.2.1.01.0.1.007,REC REM DEP BANC FNAS,6283.39
janeiro,1.3.2.1.01.0.1.005,REC REM SERVIÇOS AÇÕES DE SAUDE,14260.71
janeiro,1.3.2.1.01.0.1.004,REC REM DEP BANC MDE,37146.23
janeiro,1.3.2.1.01.0.1.002,REC REM DEP BANC ROYALTIES,294.93
janeiro,1.3.2.1.01.0.1.023,REC REM EDUCAÇÃO - FEDERAL,0.0
janeiro,1.3.2.1.01.0.1.001,REC REM OUTR DEP DE REC NÃO VINCULADA,1010119.58
janeiro,1.6.1.1.01.0.1.021,AUTORIZAÇÃO DE CORTE DE ARVORE ISOLADA,0.0
janeiro,1.6.1.1.01.0.2.001,TARIFAS MULTAS/JUROS,0.9
janeiro,1.6.9.9.99.0.3.002,Outros Serviços - Dívida Ativa,0.0
janeiro,1.6.9.9.99.0.3.001,DIV ATIVA PATRULHA AGRICOLA,0.0
janeiro,1.6.9.9.99.0.2.002,Outros Serviços - Multas e Juros,336.58
janeiro,1.6.9.9.99.0.2.002,Outros Serviços - Multas e Juros,0.0
janeiro,1.6.9.9.99.0.2.001,M/J PATRULHA AGRICOLA,0.0
janeiro,1.6.9.9.99.0.1.017,OUTRAS RECEITAS,1199.23
janeiro,1.6.9.9.99.0.1.016,OUTROS SERVIÇOS,16.24
janeiro,1.6.9.9.99.0.1.015,POSTAGEM,0.0
janeiro,1.6.9.9.99.0.1.013,AVISO CONTA VENCIDA,0.3
janeiro,1.6.9.9.99.0.1.011,AGUA POTAVEL PIPA,0.0
janeiro,1.6.9.9.99.0.1.010,LIMPA FOSA,0.0
janeiro,1.6.9.9.99.0.1.007,MUDANÇA DE CAVALETE,278.48
janeiro,1.6.1.1.01.0.1.022,PARECER TECNICO AMBIENTAL,247.52
janeiro,1.6.9.9.99.0.1.005,SERVIÇOS DE RELIGAÇÃO DE AGUA,0.0
janeiro,1.6.9.9.99.0.1.003,SERVIÇOS DE LIGAÇÃO DE AGUA,0.0
